ID,File,Game_Context,Priority,Difficulty,Japanese_Text,English_Translation,Translation_Notes,Status,Confidence,Offset
VG_T_001,FEV_G_S_03.rtz,COMBAT_TUTORIAL,HIGH,EASY,浸躷㰩簀뀀籥䈀弰褰簰㸀䐰㰰簀籓蜰䘰吰䘰簰㸀鈀㰰簀攀䭑籢欀蔰䘰地蔰簰㸀縰地弰Ȱ蜑䦚<|相手|あいて|>リアガードに、<|自分|じぶん|>のヴァンガードがアタックされた<|場合|ばあい|>の,,,PENDING,0.95,0x5E0E
VG_T_002,FEV_G_S_03.rtz,COMBAT_TUTORIAL,HIGH,EASY,躷㰩簀뀀籥䈀弰褰簰㸀䐰㰰簀籓蜰䘰吰䘰簰㸀鈀㰰簀攀䭑籢欀蔰䘰地蔰簰㸀縰地弰Ȱ蜑䦚<|相手|あいて|>リアガードに、<|自分|じぶん|>のヴァンガードがアタックされた<|場合|ばあい|>の、,,,PENDING,0.95,0x5E10
VG_T_003,tuto_007.rtz,TUTORIAL,HIGH,MEDIUM,䭶籢䈀䐰簰㸀欀笰　　ሀ샿ﰰ렰笰਀笀　　㰀簀฀籎䈀弰簰㸀䠀笰褀谰謰渰Ȱ鼰゚だけど、<|今回|こんかい|>あなたは{$336600}ヴァンガード{$}でアタック,,,PENDING,0.95,0x3B4C
VG_T_004,tuto_007.rtz,TUTORIAL,HIGH,MEDIUM,䭶籢䈀䐰簰㸀欀笰　　ሀ샿ﰰ렰笰਀笀　　㰀簀฀籎䈀弰簰㸀䠀笰褀谰謰渰Ȱ鼰゚だけど、<|今回|こんかい|>あなたは{$336600}ヴァンガード{$}でアタックし,,,PENDING,0.95,0x3B4E
VG_T_005,tuto_007.rtz,TUTORIAL,HIGH,MEDIUM,籢䈀䐰簰㸀欀笰　　ሀ샿ﰰ렰笰਀笀　　㰀簀฀籎䈀弰簰㸀䠀笰褀谰謰渰Ȱ鼰゚だけど、<|今回|こんかい|>あなたは{$336600}ヴァンガード{$}でアタックした,,,PENDING,0.95,0x3B50
VG_T_006,tuto_007.rtz,TUTORIAL,HIGH,MEDIUM,䈀䐰簰㸀欀笰　　ሀ샿ﰰ렰笰਀笀　　㰀簀฀籎䈀弰簰㸀䠀笰褀谰謰渰Ȱ鼰゚だけど、<|今回|こんかい|>あなたは{$336600}ヴァンガード{$}でアタックしたよ,,,PENDING,0.95,0x3B52
VG_T_007,tuto_007.rtz,TUTORIAL,HIGH,MEDIUM,䐰簰㸀欀笰　　ሀ샿ﰰ렰笰਀笀　　㰀簀฀籎䈀弰簰㸀䠀笰褀谰謰渰Ȱ鼰゚だけど、<|今回|こんかい|>あなたは{$336600}ヴァンガード{$}でアタックしたよね,,,PENDING,0.95,0x3B54
VG_T_008,tuto_007.rtz,TUTORIAL,HIGH,MEDIUM,簰㸀欀笰　　ሀ샿ﰰ렰笰਀笀　　㰀簀฀籎䈀弰簰㸀䠀笰褀谰謰渰Ȱ鼰゚だけど、<|今回|こんかい|>あなたは{$336600}ヴァンガード{$}でアタックしたよね？,,,PENDING,0.95,0x3B56
VG_T_009,tuto_007.rtz,TUTORIAL,HIGH,MEDIUM,簰㸀欀笰　　ሀ샿ﰰ렰笰਀笀　　㰀簀฀籎䈀弰簰㸀䠀笰褀谰謰渰Ȱ鼰゚だけど、<|今回|こんかい|>あなたは{$336600}ヴァンガード{$}でアタックしたよね？,,,PENDING,0.95,0x3B58
VG_T_010,tuto_007.rtz,TUTORIAL,HIGH,MEDIUM,㸀欀笰　　ሀ샿ﰰ렰笰਀笀　　㰀簀฀籎䈀弰簰㸀䠀笰褀谰謰渰Ȱ鼰゚だけど、<|今回|こんかい|>あなたは{$336600}ヴァンガード{$}でアタックしたよね？쓁,,,PENDING,0.95,0x3B5A
