file,offset,japanese_text,english_text,confidence,source_section,priority,translation_status,translation_timestamp
romfs/fe/tuto_007.rtz,0x3B4C,"䭶籢䈀䐰昰簰㸀欀笰␀㌀㌀㘀㘀　　紀ሀ샿ﰰ렰鈰笰␀紀਀笀␀㌀㌀㘀㘀　　紀㰀簀฀籎䈀弰簰㸀䠀笰␀紀褀谰謰渰Ȱ鼰゚だけど、<|今回|こんかい|>あなたは{$336600}ヴァンガード{$}で
アタック","  APARTMENT㘀㘀 紀مم 紀 APARTMENT  紀 紀褀谰謰渰Ȱ鼰゚, BUT<|今回|こんかい|>YOU ARE{$336600}VANGUARD{$}
ア",0.95,file_end,HIGH,COMPLETED,2025-07-30T17:03:00.254677
romfs/fe/tuto_007.rtz,0x3B4E,"䭶籢䈀䐰昰簰㸀欀笰␀㌀㌀㘀㘀　　紀ሀ샿ﰰ렰鈰笰␀紀਀笀␀㌀㌀㘀㘀　　紀㰀簀฀籎䈀弰簰㸀䠀笰␀紀褀谰謰渰Ȱ鼰゚だけど、<|今回|こんかい|>あなたは{$336600}ヴァンガード{$}で
アタックし","  APARTMENT㘀㘀 紀مم 紀 APARTMENT  紀 紀褀谰謰渰Ȱ鼰゚, BUT<|今回|こんかい|>YOU ARE{$336600}VANGUARD{$}
ア",0.95,file_end,HIGH,COMPLETED,2025-07-30T17:03:00.658770
romfs/fe/tuto_007.rtz,0x3B50,"籢䈀䐰昰簰㸀欀笰␀㌀㌀㘀㘀　　紀ሀ샿ﰰ렰鈰笰␀紀਀笀␀㌀㌀㘀㘀　　紀㰀簀฀籎䈀弰簰㸀䠀笰␀紀褀谰謰渰Ȱ鼰゚だけど、<|今回|こんかい|>あなたは{$336600}ヴァンガード{$}で
アタックした","  APARTMENT㘀㘀 紀مم 紀 APARTMENT  紀 紀褀谰謰渰Ȱ鼰゚, BUT<|今回|こんかい|>YOU ARE{$336600}VANGUARD{$}
ATTACKED",0.95,file_end,HIGH,COMPLETED,2025-07-30T17:03:01.090150
romfs/fe/tuto_007.rtz,0x3B52,"䈀䐰昰簰㸀欀笰␀㌀㌀㘀㘀　　紀ሀ샿ﰰ렰鈰笰␀紀਀笀␀㌀㌀㘀㘀　　紀㰀簀฀籎䈀弰簰㸀䠀笰␀紀褀谰謰渰Ȱ鼰゚だけど、<|今回|こんかい|>あなたは{$336600}ヴァンガード{$}で
アタックしたよ","  APARTMENT㘀㘀 紀مم 紀 APARTMENT  紀 紀褀谰謰渰Ȱ鼰゚, BUT<|今回|こんかい|>YOU ARE{$336600}VANGUARD{$}
ア",0.95,file_end,HIGH,COMPLETED,2025-07-30T17:03:01.503424
romfs/fe/tuto_007.rtz,0x3B54,"䐰昰簰㸀欀笰␀㌀㌀㘀㘀　　紀ሀ샿ﰰ렰鈰笰␀紀਀笀␀㌀㌀㘀㘀　　紀㰀簀฀籎䈀弰簰㸀䠀笰␀紀褀谰謰渰Ȱ鼰゚だけど、<|今回|こんかい|>あなたは{$336600}ヴァンガード{$}で
アタックしたよね","  APARTMENT㘀㘀 紀مم 紀 APARTMENT  紀 紀褀谰謰渰Ȱ鼰゚, BUT<|今回|こんかい|>YOU ARE{$336600}VANGUARD{$}
ア",0.95,file_end,HIGH,COMPLETED,2025-07-30T17:03:01.947290
romfs/fe/tuto_007.rtz,0x3B56,"昰簰㸀欀笰␀㌀㌀㘀㘀　　紀ሀ샿ﰰ렰鈰笰␀紀਀笀␀㌀㌀㘀㘀　　紀㰀簀฀籎䈀弰簰㸀䠀笰␀紀褀谰謰渰Ȱ鼰゚だけど、<|今回|こんかい|>あなたは{$336600}ヴァンガード{$}で
アタックしたよね？","  APARTMENT㘀㘀 紀مم 紀 APARTMENT  紀 紀褀谰謰渰Ȱ鼰゚, BUT<|今回|こんかい|>YOU ARE{$336600}VANGUARD{$}
I'MックING",0.95,file_end,HIGH,COMPLETED,2025-07-30T17:03:02.379134
romfs/fe/tuto_007.rtz,0x3B58,"簰㸀欀笰␀㌀㌀㘀㘀　　紀ሀ샿ﰰ렰鈰笰␀紀਀笀␀㌀㌀㘀㘀　　紀㰀簀฀籎䈀弰簰㸀䠀笰␀紀褀谰謰渰Ȱ鼰゚だけど、<|今回|こんかい|>あなたは{$336600}ヴァンガード{$}で
アタックしたよね？쓁","  APARTMENT㘀㘀 紀مم 紀 APARTMENT  紀 紀褀谰謰渰Ȱ鼰゚, BUT<|今回|こんかい|>YOU ARE{$336600}VANGUARD{$}
",0.95,file_end,HIGH,COMPLETED,2025-07-30T17:03:02.795976
romfs/fe/tuto_007.rtz,0x3B5A,"㸀欀笰␀㌀㌀㘀㘀　　紀ሀ샿ﰰ렰鈰笰␀紀਀笀␀㌀㌀㘀㘀　　紀㰀簀฀籎䈀弰簰㸀䠀笰␀紀褀谰謰渰Ȱ鼰゚だけど、<|今回|こんかい|>あなたは{$336600}ヴァンガード{$}で
アタックしたよね？쓁鶀","  APARTMENT㘀㘀 紀مم 紀 APARTMENT  紀 紀褀谰謰渰Ȱ鼰゚, BUT<|今回|こんかい|>YOU ARE{$336600}VANGUARD{$}
",0.95,file_end,HIGH,COMPLETED,2025-07-30T17:03:03.179871
romfs/script/FEV_G_S_03.rtz,0x5E0E,"浸躷㰩簀뀀籥䈀弰褰簰㸀圀䐰㰰簀籓圀蜰䘰吰䘰簰㸀鈀㰰簀攀䭑籢欀蔰䘰地蔰簰㸀圀縰地弰Ȱ蜑䦚<|相手|あいて|>リアガードに、<|自分|じぶん|>のヴァンガードがアタック
された<|場合|ばあい|>の","ヴァン<|相手|あいて|>REAR GUARD
<|場合|ばあい|>",0.95,file_end,HIGH,COMPLETED,2025-07-30T17:03:03.489192
romfs/script/FEV_G_S_03.rtz,0x5E10,"躷㰩簀뀀籥䈀弰褰簰㸀圀䐰㰰簀籓圀蜰䘰吰䘰簰㸀鈀㰰簀攀䭑籢欀蔰䘰地蔰簰㸀圀縰地弰Ȱ蜑䦚<|相手|あいて|>リアガードに、<|自分|じぶん|>のヴァンガードがアタック
された<|場合|ばあい|>の、","ヴァン<|相手|あいて|>REAR GUARD、<|自分|じぶん|> VANGUARD
<|場合|ばあい|>",0.95,file_end,HIGH,COMPLETED,2025-07-30T17:03:03.775874
